"","FIPS","County","population","cases","lat","lon"
"1",10001,"Kent County",180786,503,39.097088,-75.502982
"2",10003,"New Castle County",558753,1352,39.575915,-75.644132
"3",10005,"Sussex County",234225,1317,38.677511,-75.335495
"4",1001,"Autauga County",55869,32,32.536382,-86.64449
"5",1003,"Baldwin County",223234,132,30.659218,-87.746067
"6",1005,"Barbour County",24686,29,31.87067,-85.405456
"7",1007,"Bibb County",22394,34,33.015893,-87.127148
"8",1009,"Blount County",57826,29,33.977448,-86.567246
"9",1011,"Bullock County",10101,11,32.101759,-85.717261
"10",1013,"Butler County",19448,17,31.751667,-86.681969
"11",1015,"Calhoun County",113605,85,33.771706,-85.822513
"12",1017,"Chambers County",33254,270,32.917943,-85.391812
"13",1019,"Cherokee County",26196,13,34.069515,-85.654242
"14",1021,"Chilton County",44428,46,32.85406,-86.726628
"15",1023,"Choctaw County",12589,21,31.991008,-88.248887
"16",1025,"Clarke County",23622,25,31.685521,-87.818624
"17",1027,"Clay County",13235,19,33.267809,-85.862051
"18",1029,"Cleburne County",14910,12,33.671981,-85.516109
"19",1031,"Coffee County",52342,73,31.402183,-85.989201
"20",1033,"Colbert County",55241,20,34.703112,-87.801457
"21",1035,"Conecuh County",12067,9,31.428293,-86.992029
"22",1037,"Coosa County",10663,24,32.931445,-86.243482
"23",1039,"Covington County",37049,27,31.243987,-86.448721
"24",1041,"Crenshaw County",13772,6,31.732826,-86.319222
"25",1043,"Cullman County",83768,44,34.131923,-86.869267
"26",1045,"Dale County",49172,22,31.430654,-85.609476
"27",1047,"Dallas County",37196,30,32.33354,-87.114356
"28",1049,"DeKalb County",71513,58,34.460929,-85.803992
"29",1051,"Elmore County",81209,74,32.597229,-86.142739
"30",1053,"Escambia County",36633,18,31.121748,-87.168429
"31",1055,"Etowah County",102268,116,34.047638,-86.03442
"32",1057,"Fayette County",16302,4,33.732249,-87.752049
"33",1059,"Franklin County",31362,22,34.441988,-87.842815
"34",1061,"Geneva County",26271,5,31.090866,-85.824346
"35",1063,"Greene County",8111,40,32.844497,-87.964201
"36",1065,"Hale County",14651,36,32.752796,-87.623061
"37",1067,"Henry County",17205,20,31.516978,-85.239971
"38",1069,"Houston County",105882,75,31.158193,-85.296398
"39",1071,"Jackson County",51626,42,34.763522,-85.9774
"40",1073,"Jefferson County",658573,744,33.553444,-86.896536
"41",1075,"Lamar County",13805,8,33.787085,-88.087431
"42",1077,"Lauderdale County",92729,25,34.904122,-87.650997
"43",1079,"Lawrence County",32924,12,34.529776,-87.321865
"44",1081,"Lee County",164542,331,32.604064,-85.353048
"45",1083,"Limestone County",98915,38,34.810239,-86.9814
"46",1085,"Lowndes County",9726,32,32.147888,-86.650586
"47",1087,"Macon County",18068,27,32.387027,-85.692887
"48",1089,"Madison County",372909,205,34.764238,-86.55108
"49",1091,"Marengo County",18863,40,32.247591,-87.791091
"50",1093,"Marion County",29709,65,34.138219,-87.881551
"51",1095,"Marshall County",96774,241,34.309564,-86.321668
"52",1097,"Mobile County",413210,759,30.684573,-88.196568
"53",1099,"Monroe County",20733,9,31.580332,-87.383266
"54",1101,"Montgomery County",226486,253,32.203651,-86.203831
"55",1103,"Morgan County",119679,50,34.454484,-86.846402
"56",1105,"Perry County",8923,9,32.639005,-87.293827
"57",1107,"Pickens County",19930,44,33.296809,-88.096878
"58",1109,"Pike County",33114,53,31.798726,-85.941997
"59",1111,"Randolph County",22722,60,33.296475,-85.464068
"60",1113,"Russell County",57961,52,32.289811,-85.18698
"61",1115,"St. Clair County",89512,62,33.712963,-86.315663
"62",1117,"Shelby County",217702,278,33.262937,-86.678104
"63",1119,"Sumter County",12427,46,32.597481,-88.200057
"64",1121,"Talladega County",79978,52,33.369277,-86.175805
"65",1123,"Tallapoosa County",40367,242,32.863369,-85.799553
"66",1125,"Tuscaloosa County",209355,165,33.290202,-87.52286
"67",1127,"Walker County",63521,90,33.791571,-87.301092
"68",1129,"Washington County",16326,18,31.406974,-88.202078
"69",1131,"Wilcox County",10373,50,31.99033,-87.302205
"70",1133,"Winston County",23629,10,34.155888,-87.364147
"71",12001,"Alachua County",269043,226,29.67574,-82.357221
"72",12003,"Baker County",29210,17,30.324442,-82.302284
"73",12005,"Bay County",174705,60,30.237563,-85.631348
"74",12007,"Bradford County",28201,42,29.946934,-82.166796
"75",12009,"Brevard County",601942,226,28.298276,-80.700384
"76",12011,"Broward County",1952778,4254,26.19352,-80.476658
"77",12013,"Calhoun County",14105,6,30.388801,-85.197916
"78",12015,"Charlotte County",188910,154,26.868826,-81.940858
"79",12017,"Citrus County",149657,92,28.843628,-82.524796
"80",12019,"Clay County",219252,259,29.987116,-81.858147
"81",12021,"Collier County",384902,487,26.118713,-81.400884
"82",12023,"Columbia County",71686,44,30.221305,-82.623127
"83",12027,"DeSoto County",38001,24,27.190581,-81.806253
"84",12029,"Dixie County",16826,4,29.580899,-83.195666
"85",12031,"Duval County",957755,936,30.335245,-81.648113
"86",12033,"Escambia County",318316,415,30.611664,-87.33904
"87",12035,"Flagler County",115081,78,29.474894,-81.286362
"88",12037,"Franklin County",12125,2,29.810176,-84.799174
"89",12039,"Gadsden County",45660,59,30.57917,-84.612783
"90",12041,"Gilchrist County",18582,4,29.723456,-82.795801
"91",12043,"Glades County",13811,5,26.95481,-81.19082
"92",12045,"Gulf County",13639,1,29.907257,-85.256537
"93",12047,"Hamilton County",14428,6,30.491102,-82.951049
"94",12049,"Hardee County",26937,4,27.492846,-81.82158
"95",12051,"Hendry County",42022,55,26.53934,-81.151584
"96",12053,"Hernando County",193920,83,28.567911,-82.464835
"97",12055,"Highlands County",106221,71,27.342627,-81.340921
"98",12057,"Hillsborough County",1471968,986,27.90659,-82.349568
"99",12059,"Holmes County",19617,8,30.866222,-85.812959
"100",12061,"Indian River County",159923,85,27.700638,-80.574803
"101",12063,"Jackson County",46414,11,30.787812,-85.210374
"102",12065,"Jefferson County",14246,26,30.424558,-83.890859
"103",12067,"Lafayette County",8422,1,29.990066,-83.17851
"104",12069,"Lake County",367118,214,28.764113,-81.712282
"105",12071,"Lee County",770577,821,26.552134,-81.89225
"106",12073,"Leon County",293582,187,30.45931,-84.2778
"107",12075,"Levy County",41503,13,29.284409,-82.783483
"108",12077,"Liberty County",8354,2,30.259849,-84.868581
"109",12079,"Madison County",18493,35,30.447228,-83.470437
