FID,ORGANIZATI,FIRENAME,FIRENUMBER,FIRECODE,CAUSE,SPECCAUSE,STATCAUSE,SIZECLASS,FIRETYPE,YEAR_,STARTDATED,CONTRDATED,OUTDATED,STATE,STATE_FIPS,DLATITUDE,DLONGITUDE,TOTALACRES,TRPGENCAUS,TRPSPECCAU
1603,FWS,BIG BERTHA,2041,2041,Human,30,0,F,1,1988,3/26/88 0:00,3/27/88 0:00,,Arizona,4,31.58333,-111.55,1500,0,0
1605,FWS,MORMON,2043,2043,Human,30,0,G,1,1986,5/15/86 0:00,5/19/86 0:00,,Arizona,4,32.5,-111.51667,10390,0,0
1608,FWS,NORTH,2048,2048,Human,30,0,F,1,1986,6/27/86 0:00,6/28/86 0:00,,Montana,30,47.5,-111.43333,1400,0,0
1647,FWS,YELLOW,2357,2357,Human,30,0,F,1,2002,2/28/02 0:00,3/2/02 0:00,,Arizona,4,31.7,-111.483,1035,0,0
1668,FWS,GUS,2493,2493,Human,10,0,G,1,2000,4/9/00 0:00,4/10/00 0:00,,Arizona,4,31.516,-111.517,5700,0,0
1673,FWS,LANE,2550,2550,Human,10,0,F,1,2000,5/14/00 0:00,5/18/00 0:00,,Arizona,4,31.649,-111.491,2750,0,0
1675,FWS,CITY HALL,2564,2564,Human,30,0,G,1,2002,5/14/02 0:00,5/15/02 0:00,,Arizona,4,31.766,-111.483,5312,0,0
1677,FWS,CITYHALL2,2572,2572,Human,10,0,G,1,2000,6/2/00 0:00,6/4/00 0:00,,Arizona,4,31.791,-111.458,5200,0,0
1680,FWS,CITY HALL,2578,2578,Human,0,0,G,1,1991,5/16/91 0:00,5/18/91 0:00,,Arizona,4,31.75,-111.45,6530,0,0
1682,FWS,CUMERO,2612,2612,Natural,30,0,F,1,1991,7/26/91 0:00,7/30/91 0:00,,Arizona,4,31.46667,-111.43333,2500,0,0
1707,FWS,HIPPY,2718,2718,Human,30,0,F,1,1994,7/6/94 0:00,7/7/94 0:00,,Arizona,4,31.716,-111.433,2500,0,0
1708,FWS,SASABE,2720,2720,Human,30,0,F,1,1994,7/4/94 0:00,7/4/94 0:00,,Arizona,4,31.5,-111.55,1200,0,0
1760,FWS,WALTERS,2084,2084,Human,0,0,F,1,1992,3/18/92 0:00,3/20/92 0:00,,California,6,33.28333,-114.71667,1800,0,0
1775,FWS,CIBOLA, ,CY55,Natural,30,0,F,1,2006,7/16/06 0:00,7/23/06 0:00,,Arizona,4,33.32199,-114.705,4600,0,0
1777,FWS,CAMINO, ,BN6U,Human,30,0,F,1,2005,4/18/05 0:00,4/21/05 0:00,,Arizona,4,32.25056,-113.63028,1025,0,0
1778,FWS,GROWLER PEAK, ,BRS5,Human,30,0,G,1,2005,5/13/05 0:00,5/18/05 0:00,,Arizona,4,32.3888,-113.28639,7500,0,0
1803,FWS,SOUTH DIKE,2281,2281,Human,30,0,F,1,1998,7/5/98 0:00,9/2/98 0:00,,Arizona,4,34.7653,-114.533,2200,0,0
1846,FWS,FERGUSONLK,2034,2034,Natural,30,0,F,1,1987,5/7/87 0:00,5/8/87 0:00,,California,6,33,-114.5,2500,0,0
1851,FWS,FERGUSON,2071,2071,Human,30,0,F,1,1989,5/28/89 0:00,6/1/89 0:00,,California,6,33.01667,-114.51667,3080,0,0
1875,FWS,KING VALLY, ,B7S5,Human,30,0,G,1,2005,10/1/05 0:00,10/6/05 0:00,,Arizona,4,33.17889,-114.02139,26000,0,0
1892,FWS,SANTIAGO,1960,1960,Natural,30,0,F,1,1988,6/19/88 0:00,6/22/88 0:00,,California,6,34.9298,-119.3114,1900,0,0
1901,FWS,CLEAR,1807,1807,Natural,30,0,F,1,2001,7/3/01 0:00,7/5/01 0:00,,California,6,41.86667,-121.125,4317,0,0
1964,FWS,PIRU,1514,1514,Human,30,0,F,1,1998,10/18/98 0:00,10/24/98 0:00,,California,6,34.418,-118.794,1257,0,0
1966,FWS,HOPPER,1970,1970,Human,10,0,G,1,1997,8/5/97 0:00,8/11/97 0:00,,California,6,34.466,-118.867,24800,0,0
1968,FWS,PIRU, ,AXE7,Human,30,0,G,1,2003,10/23/03 0:00,11/10/03 0:00,,California,6,34.48722,-118.75972,63719,0,0
1990,FWS,REFUGE,1374,1374,Human,30,0,F,1,1998,8/4/98 0:00,9/18/98 0:00,,California,6,41.95,-121.73333,1500,0,0
2106,FWS,TURKEYTR,1074,1074,Human,30,0,F,1,1992,6/12/92 0:00,6/12/92 0:00,,California,6,35.91667,-119.41667,1200,0,0
2114,FWS,HANFORD FA,1326,1326,Human,0,0,F,1,1993,6/14/93 0:00,6/14/93 0:00,,California,6,35.93333,-119.35,1560,0,0
2138,FWS,PELICAN SJR, ,A8KU,Human,30,0,F,1,2004,7/19/04 0:00,7/28/04 0:00,,California,6,37.63611,-121.21167,1500,0,0
2419,FWS,VIEJAS,1651,1651,Human,10,0,G,1,2001,1/3/01 0:00,1/9/01 0:00,,California,6,32.73333,-116.95,10331,0,0
2436,FWS,OTAY322,1790,1790,Human,30,0,G,1,1996,10/22/96 0:00,10/28/96 0:00,,California,6,32.64393,-116.84354,14720,0,0
2476,FWS,CEDAR, ,AXQ3,Human,30,0,G,1,2003,10/25/03 0:00,11/25/03 0:00,,California,6,32.99882,-116.72293,283070,0,0
2477,FWS,MINE, ,AXS3,Human,30,0,G,1,2003,10/26/03 0:00,11/15/03 0:00,,California,6,32.60045,-116.76883,50300,0,0
2520,FWS,BUSTERFLAT,6400,6400,Natural,30,0,G,1,2000,7/3/00 0:00,7/16/00 0:00,,Colorado,8,40.7515,-108.8914,11033,0,0
2522,FWS,BIGGULCH,6514,6514,Human,30,0,F,1,1993,7/15/93 0:00,7/17/93 0:00,,Colorado,8,40.83333,-107.91667,2400,0,0
2526,FWS,ECKLUND CX,6965,6965,Natural,30,0,F,1,2001,7/17/01 0:00,10/5/01 0:00,,Colorado,8,40.6459,-108.9584,3239,0,0
4097,FWS,LAKE CHAN,1086,1086,Natural,30,0,F,1,1987,6/5/87 0:00,6/6/87 0:00,,Idaho,16,42.7,-113.2,2550,0,0
4098,FWS,WALCOTT,1121,1121,Natural,30,0,F,1,1995,7/29/95 0:00,7/31/95 0:00,,Idaho,16,42.71667,-113.41667,3643,0,0
4102,FWS,REFUGE,1451,1451,Natural,30,0,F,1,2000,7/26/00 0:00,7/27/00 0:00,,Idaho,16,42.63361,-113.32667,1838.6,0,0
4104,FWS,LKWALCOTT,1502,1502,Natural,30,0,G,1,1996,8/1/96 0:00,8/3/96 0:00,,Idaho,16,42.61667,-113.83333,9000,0,0
4105,FWS,WALCOTT 5,1511,1511,Natural,30,0,F,1,2002,7/6/02 0:00,7/6/02 0:00,,Idaho,16,42.64972,-113.46389,1293,0,0
4106,FWS,MINIDOKA,1521,1521,Natural,30,0,F,1,2000,8/23/00 0:00,8/25/00 0:00,,Idaho,16,42.66417,-113.42889,1102,0,0
4109,FWS,NORTH WAPI,1745,1745,Natural,30,0,G,1,1996,9/10/96 0:00,9/11/96 0:00,,Idaho,16,42.65,-113.15,10821,0,0
6631,FWS,LOST CREEK,6020,6020,Human,30,0,G,1,1982,4/30/82 0:00,5/5/82 0:00,,Montana,30,47.48742,-107.76138,10630,0,0
6642,FWS,CACTUS CK,6029,6029,Natural,30,0,F,1,1984,8/5/84 0:00,8/6/84 0:00,,Montana,30,47.45,-108.51667,2318,0,0
6676,FWS,CHAINBUTTE,6064,6064,Natural,30,0,F,1,1983,7/6/83 0:00,7/9/83 0:00,,Montana,30,47.53333,-108.03333,1365,0,0
6706,FWS,SANDBURN,6104,6104,Natural,30,0,F,1,1988,6/6/88 0:00,6/8/88 0:00,,Montana,30,47.33333,-107.75,3000,0,0
6755,FWS,SANDBURN,6151,6151,Natural,30,0,G,1,1998,5/17/98 0:00,5/21/98 0:00,,Montana,30,47.3333,-107.874,5680,0,0
6764,FWS,JIM WELLS,6180,6180,Natural,30,0,F,1,1988,8/18/88 0:00,8/20/88 0:00,,Montana,30,47.5,-107.88333,1600,0,0
6807,FWS,HERMAN RDG,6318,6318,Natural,30,0,F,1,1998,9/1/98 0:00,9/6/98 0:00,,Montana,30,47.6064,-107.547,4926,0,0
6843,FWS,ALKALIE,6494,6494,Human,30,0,G,1,1996,9/11/96 0:00,9/15/96 0:00,,Montana,30,47.416,-107.933,10031,0,0
6876,FWS,CK CREEK,6774,6774,Natural,30,0,G,1,1994,8/3/94 0:00,8/12/94 0:00,,Montana,30,47.683,-108.183,11067,0,0
6909,FWS,HEARTLAND, ,B6BS,Natural,30,0,G,1,2005,9/9/05 0:00,9/16/05 0:00,,Montana,30,47.7147,-107.4489,6689,0,0
6912,FWS,SHEEP, ,B6HU,Natural,30,0,G,1,2005,9/9/05 0:00,9/16/05 0:00,,Montana,30,47.6558,-107.47422,6778,0,0
6919,FWS,BRANDON COULEE, ,BZ63,Natural,30,0,F,1,2005,7/12/05 0:00,7/16/05 0:00,,Montana,30,47.71194,-107.57361,1930,0,0
